1, 1, Erzeugung,1520
2, 1, Erzeugung,1520
3, 1, Erzeugung,1520
4, 1, Erzeugung,1520
5, 1, Erzeugung,1520
6, 1, Erzeugung,1520
7, 1, Erzeugung,1520
8, 1, Erzeugung,1520
9, 1, Erzeugung,1520
1, 2, Stein und Braunkohle,644
2, 2, Rohoel,0
3, 2, Naturgas,354
4, 2, Kernenergie,0
5, 2, erneuerbare Energien,521
6, 2, erneuerbare Energien,521
7, 2, erneuerbare Energien,521
8, 2, erneuerbare Energien,521
9, 2, erneuerbare Energien,521
5, 3, Sonnenenergie,3
6, 3, Biomasse und Abfaelle,224
7, 3, geothermische Energie,4
8, 3, Wasserkraft,83
9, 3, Windkraft,207
