1, 1, Erzeugung,26447
2, 1, Erzeugung,26447
3, 1, Erzeugung,26447
4, 1, Erzeugung,26447
5, 1, Erzeugung,26447
6, 1, Erzeugung,26447
7, 1, Erzeugung,26447
8, 1, Erzeugung,26447
9, 1, Erzeugung,26447
1, 2, Stein und Braunkohle,79
2, 2, Rohoel,5289
3, 2, Naturgas,7590
4, 2, Kernenergie,0
5, 2, erneuerbare Energien,13488
6, 2, erneuerbare Energien,13488
7, 2, erneuerbare Energien,13488
8, 2, erneuerbare Energien,13488
9, 2, erneuerbare Energien,13488
5, 3, Sonnenenergie,81
6, 3, Biomasse und Abfaelle,4452
7, 3, geothermische Energie,4965
8, 3, Wasserkraft,3575
9, 3, Windkraft,418
